name,price,disc_price,brand,product_details,ratings
Super Miracle Spot All Kill Cream (30ml),RM59,NaN,SOME BY MI,"Spots, be gone! Some By Mi’s Super Miracle Spot All Kill Cream uses cica extract and tea tree leaf water to soothe, treat and banish acne spots. This lightweight gel formula isn’t sticky and absorbs quickly into the skin, quickly and effectively ridding your complexion of unwanted pimples.",4.29 stars
Clear Fit Master Patch (18ea),RM16,NaN,COSRX,NaN,4.80 stars
Revitalize Sleeping Mask (80ml),RM71,NaN,BEAUTY OF JOSEON,"Black beans, ginseng, honey, and orchid ingredients that Joseon women used help create smooth and tight skin by being deeply absorbed into the skin to spread around all of the rich nutrients without stickiness during sleep.",4.61 stars
Jeju Cherry Blossom Skin (200ml),RM68,NaN,INNISFREE,NaN,4.50 stars
Moistfull Collagen Facial Toner (200ml),RM62,NaN,ETUDE HOUSE,"Every woman desires skin that is youthful and vibrant, and one way to achieve this is to incorporate collagen into your facial care. The Moistfull Collagen Facial Toner is a mild facial toner that removes makeup residues and other impurities while supplying a good dose of collagen and moisture for a healthy, glowing complexion. The toner is infused with the mucus extract of baobab tree to nourish and moisturize your skin.",4.88 stars
Ultimate Nourishing Rice Overnight Spa Mask (60ml),RM58,NaN,COSRX,NaN,4.36 stars
Power 10 Formula LI Effector (30ml),RM38,NaN,IT'S SKIN,"Just like drops for your eyes, It's Skin's Power 10 Formulas are little drops that improve and target problems according to your skin's needs. This LI Effector is a serum enriched with licorice root extract to soothe the skin and protect it from harmful externalities while evening out the skin tone. Infused with PGA from fermented soybeans, this concentrate is packed with brightening and moisturizing properties to make your skin radiant and supple.",4.38 stars
Starting Treatment Eye Cream Rose Edition (30g),RM46,NaN,SECRET KEY,NaN,4.80 stars
Fermented Rice Brightening Cream (60ml),RM55,RM46,MEALADE,NaN,5.00 stars
Truecica Mineral 100 Calming Suncream (50ml),RM62,NaN,SOME BY MI,NaN,4.88 stars
Perfect Lip & Eye Makeup Remover (155ml),RM20,RM17,MISSHA,NaN,4.85 stars
No-Sebum Lotion (100ml),RM48,NaN,INNISFREE,NaN,4.72 stars
Green Tea Cleansing Water (300ml),RM60,NaN,INNISFREE,NaN,4.68 stars
Centella Blemish Cream (30ml),RM68,NaN,COSRX,"Soothe redness and irritations with some TLC in the form of CosRX's Centella Blemish Cream. This nutrient-packed cream contains ingredients expertly selected to ensure that your skin gets the hydration it needs while treating sensitivities and acne without causing any irritations. Best of all, it absorbs easily into the skin without leaving any heavy, sticky feel behind, making it especially great for those of us with sensitive or troubled complexions.",4.51 stars
Green Barley Bubble Cleanser (150ml),RM45,NaN,INNISFREE,"If you have sensitive skin, you will understand the importance of choosing skincare products that suit your needs without stripping your face off its natural moisture. The Green Barley Bubble Cleanser is a gentle cleanser formulated from natural green barley components with 3 types of natural AHAs to effectively remove skin flakes, likely brought on by a sensitive skin reaction. When lathered, the cleanser creates rich and smooth bubbles to clean sensitive skin without irritating it. Its key ingredient - green barley extract - is rich in protein and fiber to deliver moisture to the skin while it cleanses, so that your face stays supple and hydrated.",4.33 stars
Starting Treatment Kit,RM70,NaN,SECRET KEY,NaN,4.94 stars
Green Tea Seed Deep Cream (50ml),RM90,NaN,INNISFREE,NaN,4.75 stars
Snail Repairing Eye Cream (30g),RM46,NaN,SECRET KEY,"Eye cream that is absorbed quickly into the skin to provide firming and bring vitality back to the eyes. Snail mucus and adenosine renew the skin and provide firm skin around the eyes. Also, Squalane, fermented caragana root and jojoba seed keep the eye area moisturized.",4.50 stars
Centella Multi Balm Mini (15g),RM28,NaN,PUREFORET,"Pureforet’s Centella Multi Balm is an all-in-one ointment made with centella extracts and jojoba oil to repair, soothe and treat blemished skin. It gently coats the area in a film of moisture and nourishment, calming redness and minimizing scars, keeping the area smooth and hydrated. Perfect for treating those pesky acne, it has skin regenerating properties that’ll leave you with healthy, clear skin. Use on the face, or even on those extra dry bits on your body to stay soft!",4.87 stars
Egg White Perfect Pore Cleansing Foam (150ml),RM37,NaN,SKINFOOD,NaN,4.68 stars
Secret of Sahara Cream: Anti-Gravity (50ml),RM117,NaN,HUXLEY,NaN,5.00 stars
24K Gold Wrapping Mask (80ml),RM70,NaN,PIOLANG,"Give your skin the royal treatment with this peel off pack from Piolang! This gorgeous mask contains 99% pure gold to exfoliate dead skin cells, brighten and improve the elasticity of the skin, giving you a youthful glow worthy of a princess. It's also made with moisturizing ingredients that prevent flakey dry skin, so you'll be left with supple, smooth skin. Ready to go for gold? We sure are!",4.44 stars
Aqua Peel Toner (250ml),RM58,NaN,MAMONDE,"We love a a good beauty multitasker, and Mamonde's Aqua Peel Toner is right up our alley! This hydrating toner contains AHA and Japanese apricot enzyme to exfoliate away dead skin with ease, leaving the skin feeling fresh, soft and prepped for the next skincare product. It also has Japanese apricot flower extract to soothe and hydrate the skin, keeping it nice and supple to the touch.",4.84 stars
Whitening Milky Soft Cream (50ml),RM45,NaN,ONSAEMEEIN,"Instantly brighten your skin like magic with Onsaemeein's Whitening Milky Soft Cream! This luxurious product glides over the skin, instantly lightening and evening out the tone of the skin with niacinamide, giving you a bright, radiant look. It's also infused with snail mucin extract and shea butter to moisturize, repair and soothe the skin, ensuring it stays and looks healthy. Best of all, this formula is ultra gentle on the skin, making it suitable for all skin types.",4.41 stars
Red Serum (40ml),RM69,NaN,SKIN&LAB,"Indulge in your romantic side with this luxurious serum! Made with the extract from a million Damask roses, Skin&Lab's Red Serum is a hydrating, quick absorbing formula that penetrates deep into the layers of the skin, plumping and hydrating it from within. It's formulated with a phyto red complex that improves collagen synthesis and keeps the skin protected. The result? Supple, youthful skin that doesn't feel sticky to the touch!",4.34 stars
Jeju Orchid Gel Cream (50ml),RM93,NaN,INNISFREE,"Jeju Island, a place so rich in volcanic soil, is also the ideal place to grow orchids, thanks to its cold weather. The Orchid Gel Cream is infused with orchid elixir harvested in the cold to deliver powerful antioxidants and nutrients to the skin to protect, moisturize and prevent it from aging for a supple, radiant complexion. The Gel Cream comes in a light, non-greasy texture that helps to keep your skin's elasticity, enhancing its firmness as time goes by.",4.50 stars
BlackHead Clear 3-Step Nose Pack (6.2g),RM7,NaN,NATURE REPUBLIC,"For days that we want our skin to be blackhead free, we turn to Nature Republic's BlackHead Clear 3-Step Nose Pack for a little help. This 3-step system is specifically tailored for your nose to easily extract out the nasties, leaving you with clean, smooth skin. Formulated with Amazon white clay to melt away impurities from the pores, this trio comes with a serum to open up the pores, a peel off mask to extract blackheads and a concentrate to close and soothe the skin. Clear, supple skin is as easy as 1, 2, 3!",4.46 stars
Bifida 100% Natural Face Serum (50ml),RM48,NaN,ONSAEMEEIN,"Bifida is an ingredient extracted through a fermentation process that improves the elasticity and moisture levels of the skin. Onsaemeein's Bifida 100% is a bottle full of the pure stuff to boost your skincare routine, penetrating deep into the layers of the skin to hydrate, strengthen and revitalize your complexion. It absorbs quickly and easily into the skin too, thanks to its water-like texture, and doesn't feel greasy at all on the skin.",4.47 stars
Green Tea Seed Skin (200ml),RM74,NaN,INNISFREE,NaN,4.91 stars
Dr.Belmeur Daily Repair Moisturizer (120ml),RM69,NaN,THE FACE SHOP,NaN,4.40 stars
All Around Safe Block Sun Milk Soft Finish (70ml),RM66,RM56,MISSHA,NaN,4.96 stars
Galactomyces 95 Tone Balancing Essence (100ml),RM71,NaN,COSRX,"The last place somebody expected to see suppleness was in the hands of a rice wine brewer, but beauty lurks in the most unexpected places! Galactomyces from the yeast used by the brewer improved the skin, removed calluses and kept it his hands looking nice and plump. Bottle that goodness and add it to your skincare with COSRX's Galactomyces 95 Tone Balancing Essence! Containing 95% of the good stuff, this is perfect for upping your skincare game, smoothening away fine lines, moisturizing deep into the layers and naturally brightening the skin for a supple, radiant complexion.",4.58 stars
Power 10 Formula Syn-Ake (30ml),RM43,NaN,IT'S SKIN,"Just like an espresso shot in the morning, It's Skin's Power 10 Formulas gives your skin a little boost according to your skin's needs. The Syn-Ake is a concentrate formulated with peptides that mimic snake venom, ""freezing"" wrinkles and preventing new creases from forming for a more even complexion. Enriched with adenosine, baobab, Indian fig and fermented yeast extract, this serum penetrates deep into the layers of the skin to regenerate and deeply nourish the skin from within.",4.53 stars
Brightening Pore Serum (30ml),RM145,RM113,INNISFREE,NaN,4.64 stars
Wrinkle Science Eye Cream (30ml),RM110,NaN,INNISFREE,NaN,4.56 stars
Jeju Volcanic Lava Pore Scrub Foam (150ml),RM32,NaN,THE FACE SHOP,NaN,4.57 stars
All Around Safe Block Sun Milk Essence (70ml),RM66,RM56,MISSHA,NaN,5.00 stars
Advanced Snail 92 All In One Cream (100ml),RM71,NaN,COSRX,"Snail mucin extract is so good for the skin! It moisturizes, soothes and repairs damaged skin for a healthy complexion. COSRX's Advanced Snail 92 All In One Cream contains 92% snail mucin extract to treat dryness, redness and prevent premature aging. This luxurious cream absorbs into the skin without any greasiness for a fresh feel. It also contains allantoin and hyaluronic acid to create this winning formula that's a great addition to your skincare routine.",4.49 stars
Toner Mate 2 in 1 Cotton Pad (120ea),RM28,NaN,"DEAR, KLAIRS","Klairs's Toner Mate 2-in-1 Cotton Pads come in a box that features cotton pads of two finishes: compressed cotton and sponge cotton. The compressed cotton ones are perfect for whisking away dead skin cells, cleansing your skin and prepping it to take on your skincare routine, while the sponge cotton is super absorbent, perfect for creating a quick pack to soothe redness with your toner.",5.00 stars
Starting Treatment Eye Cream Rose Edition (30g),RM46,NaN,SECRET KEY,NaN,4.80 stars
Fermented Rice Brightening Cream (60ml),RM55,RM46,MEALADE,NaN,5.00 stars
Truecica Mineral 100 Calming Suncream (50ml),RM62,NaN,SOME BY MI,NaN,4.88 stars
Perfect Lip & Eye Makeup Remover (155ml),RM20,RM17,MISSHA,NaN,4.85 stars
No-Sebum Lotion (100ml),RM48,NaN,INNISFREE,NaN,4.72 stars
Green Tea Cleansing Water (300ml),RM60,NaN,INNISFREE,NaN,4.68 stars
Centella Blemish Cream (30ml),RM68,NaN,COSRX,"Soothe redness and irritations with some TLC in the form of CosRX's Centella Blemish Cream. This nutrient-packed cream contains ingredients expertly selected to ensure that your skin gets the hydration it needs while treating sensitivities and acne without causing any irritations. Best of all, it absorbs easily into the skin without leaving any heavy, sticky feel behind, making it especially great for those of us with sensitive or troubled complexions.",4.51 stars
Green Barley Bubble Cleanser (150ml),RM45,NaN,INNISFREE,"If you have sensitive skin, you will understand the importance of choosing skincare products that suit your needs without stripping your face off its natural moisture. The Green Barley Bubble Cleanser is a gentle cleanser formulated from natural green barley components with 3 types of natural AHAs to effectively remove skin flakes, likely brought on by a sensitive skin reaction. When lathered, the cleanser creates rich and smooth bubbles to clean sensitive skin without irritating it. Its key ingredient - green barley extract - is rich in protein and fiber to deliver moisture to the skin while it cleanses, so that your face stays supple and hydrated.",4.33 stars
Centella Green Level Calming Toner (200ml),RM78,NaN,PURITO,"Centella Asiatica extract is a magic remedy for easily irritated, sensitive skin. PURITO Centella Green Level Calming Toner uses a combination of both Centella and hyaluronic acid to hydrate and soothe the skin, instantly forming a moisture layer that cools down the skin’s temperature. This helps to reduce redness and minimize pores for a healthy, even complexion. It also has a gel-like texture that absorbs quickly without any stickiness, leaving the skin supple, healthy and happy!",4.63 stars
Skinny Blackhead Closing Serum (40ml),RM28,NaN,RIRE,"Getting blackheads out of your pores is only half the battle: you'll have to ensure your pores are shrunk too so they don't return back quickly! Rire's Skinny Blackhead Closing Serum is a lightweight concentrate that you'll want to keep handy to ensure your pores are sealed and minimized for effective blackhead removal. It helps control excess sebum production too, so it's especially great for keeping oil at bay. Here's a little tip: keep this in the fridge before use for a refreshing finish and even better results!",4.41 stars
Galactomyces 100% Natural Face Serum (50ml),RM48,NaN,ONSAEMEEIN,"We're just going to say it: this bottle from Onsaemeein contains 100% Galactomyces ferment filtrate, that's it! The pure stuff is amazing for the complexion: it helps with skin cell turnover and smoothens out roughness while moisturizing and improving its elasticity as well. Incorporate this into your beauty regime to really improve both the look and feel of your skin!",4.67 stars
Jeju Orchid Skin (200ml),RM82,NaN,INNISFREE,"Is your skin so dry you sometimes feel it might crack as you speak? Nourish it with the Orchid Skin, a toner that is infused with orchid elixir harvested from orchids that bloom during wintertime in Jeju Island. It delivers intense moisture and nutrients to your skin, improves skin elasticity and brightens skin tone, while combating aging and wrinkles all at the same time! Because of its gel texture, this moisturizer does not feel sticky on your skin, and instead instantly hydrates your dry skin, soothing it and leaving it healthy and radiant all day long.",4.52 stars
Perfect Clean Cleansing Tissues (30ea),RM14,NaN,PRRETI:,NaN,4.56 stars
All Kill Pore Tightening Ice Stick (10g),RM36,NaN,RIRE,"Ice, ice, baby! Ice your way to smooth skin with Rire's All Kill Pore Tightening Ice Stick, a cooling balm that instantly lowers the temperature of the skin to seal in those pores, helping to minimize them in the process. Made with a blend of astringent ingredients, this is also great for soothing and hydrating the skin after blackhead extractions. Carrying this in your bag when you need to keep your cool during warm days too!",4.35 stars
Jeju Orchid Lotion (160ml),RM80,NaN,INNISFREE,NaN,4.47 stars
White Flower Mask Pack (1 Sheet),RM5,NaN,WANGSKIN,NaN,4.56 stars
Perfect Pore Cleansing Oil (250ml),RM134,NaN,LANEIGE,"Let's be honest: slapping on oil onto the skin to cleanse it doesn't really appeal to us, so you can imagine our skeptical looks when we were told this product helps to really clean out our pores. But boy, were we impressed with Laneige's Perfect Pore Cleansing Oil! Concocted with natural virgin coconut oil, this product not only removes heavy makeup, it's also infused with Mugwort extract that has antibacterial properties to deeply purify pores and melt away sebum. Our favourite part about this? It's made without any mineral oils, meaning it's gentle enough for all skin types, sensitive and oily included.",4.74 stars
MEALADE SET,RM117,RM59,MEALADE,NaN,4.25 stars
Soothe 3 in 1 Fixence Mist (60ml),RM23,NaN,KEEP COOL,NaN,4.00 stars
Green Barley Peeling Toner (250ml),RM59,NaN,INNISFREE,NaN,4.75 stars
Cream Skin Mist (120ml),RM97,NaN,LANEIGE,"Laneige's Cream Skin Mist breathes new life into your beauty routine by injecting moisture into your daily routine. Made with a Cream Blending Technology, this lightweight formula applies onto the skin like water, but as it absorbs, it feels like the skin was moisturized with cream. It's infused with nourishing ingredients that leave the skin feeling supple, soothed and refreshed.",4.80 stars
Bio-Peel Gauze Peeling Lemon (30ea),RM95,RM74,NEOGEN,NaN,4.86 stars
Two in One Poreless Power Liquid (100ml),RM69,NaN,COSRX,NaN,4.58 stars
White Dew Emulsion (100ml),RM130,NaN,LANEIGE,"Looking for bright, glowy skin? Laneige's White Dew range contains Saururus Chinensis extract that works effectively to lighten dark spots and even out skin coloration. It's also formulated with the glycol component of Phyto sugar water that moisturizes and brightens the skin. The emulsion is a lightweight moisturizer that penetrates easily into the skin, leaving it feeling supple, looking bright and feeling great. With continuous use, you'll be left with a complexion that's supple and radiant, and who doesn't want that?",4.73 stars
Water Sleeping Mask Lavender (70ml),RM108,NaN,LANEIGE,"Your favorite sleeping mask now comes in a Lavender scent! Wake up beautiful with the world's best-selling sleeping mask! With 1 sold every 12 secs, this light gel mask provides intensive hydration, vitality and brightening effect while restoring skin with deep relaxation. This product contains a number of patents including the SLEEP-TOX??technology that purifies skin during sleep, keeping it in optimum condition while MOISTURE WRAP??helps skin retain moisture throughout the night. It also has an aromatic SLEEPSCENT??helps you relax during sleep. Best of all, it's also formulated with skin soothing agents that are gentle on the sleeping skin, helping it to recover overnight.",4.75 stars
White Dew Original Ampule Essence (40ml),RM197,NaN,LANEIGE,"Looking for bright, glowy skin? These drops of light from Laneige contain Saururus Chinensis extract that works effectively to lighten dark spots and even out skin coloration. It's also formulated with the glycol component of Phyto sugar water that moisturizes and brightens the skin. What all that means is that with continuous use, you'll be left with a complexion that's supple and radiant, and who doesn't want that?",4.55 stars
White Dew Skin Refiner (120ml),RM120,NaN,LANEIGE,"Looking for bright, glowy skin? Laneige's White Dew range contains Saururus Chinensis extract that works effectively to lighten dark spots and even out skin coloration. It's also formulated with the glycol component of Phyto sugar water that moisturizes and brightens the skin. The skin refiner is a hydrating toner that whisks away leftover residue and preps the skin to take on the next step of your skincare routine, leaving it feeling supple, looking bright and feeling great. With continuous use, you'll be left with a complexion that's supple and radiant, and who doesn't want that?",4.71 stars
Oatmeal Therapy Cleansing Oil (200ml),RM42,NaN,CALMIA,"Just another breakfast food? Think again! Oatmeal is more than just delicious with fruits and honey, it's pack with antioxidants and purifying properties to ensure your skin is youthful and healthy. This cleansing oil helps to remove makeup and contains oatmeal extracts to deep cleanse the skin while ensure it stays nice and moisturized. The result is clean, soft skin that's bouncy to the touch.",4.18 stars
Gentle Black Deep Cleansing Oil (150ml),RM93,NaN,"DEAR, KLAIRS","There's something just super satisfying about seeing your makeup wash right down the drain at the end of the day! Keep your skin clean from grime and unwanted makeup with Dear, Klair's Gentle Black Deep Cleansing Oil. This formula is made with a mix of nourishing ingredients like shea butter, black bean, black sesame, blackcurrant and jojoba oils to draw out impurities from the skin, leaving the skin feeling fresh and plump to the touch. It's made without artificial coloring, alcohol, parabens or artificial fragrances, making this suitable even for those of us with sensitive skin.",4.82 stars
Golden Monkey Glamour Lip 3 Step (1ea),RM11,NaN,HOLIKA HOLIKA,"Plump, full lips are always in trend, so here's how you can prep your lips so they're smooth and kissable to the touch! This Gold Monkey Glamour Lip kit from Holika Holika works in 3 steps to get a perfectly delicious pout: a peeling patch infused with pure gold and cellulose to exfoliate and smooth out the skin; a volume lip pack containing hyaluronic acid and collagen to hydrate and soothe lips; and a honey essence to moisturize and nourish the lips for that perfect pout. Get ready to pucker up!",4.75 stars
Miracle Seed Essence (150ml),RM205,NaN,PRIMERA,"One of Primera's bestsellers, the Miracle Seed Essence is made with 93.1% lotus seed extract, which contains high levels of amino acids and linoleic acid to moisturize dry and dull skin. With flavonoid and polyphenol, this product reduces the production of active oxygen to improve the health of the skin. This almost gel-textured essence plumps up the skin, giving it even texture and skin tone as it hydrates the skin well. Your skin will thank you and feel supple all day!",4.76 stars
Super Aqua Max Watery Essence (42g),RM50,NaN,NATURE REPUBLIC,"Just like a cool, tall drink on a sunny day, Nature Republic's Super Aqua Max Essence is a concentrate that offers ultimate hydration for dull, parched skin. Made with deep sea water harvested 915m below the surface in Kona, Hawaii, this product is packed with minerals and nutrients that nourish your skin from within. It doesn't just stop there; it also contains a range or maritime extracts that provide your skin with rich hydration properties as well as protection from harmful externalities. We love the delightfully fresh scent that comes with it too!",4.73 stars
Madecassoside Cream (50ml),RM33,NaN,A'PIEU,NaN,5.00 stars
The True Cream - Aqua Bomb (10ml),RM20,NaN,BELIF,NaN,5.00 stars
Oatmeal Therapy Peeling Gel (100ml),RM25,NaN,CALMIA,"Going out and about under the sun? Then we've got the perfect sunblock for you, literally! Calmia's Perfect Outdoor Sun Block has an SPF of 50+, PA+++ to keep UVA and UVB rays at bay, while ingredients like green tea, Centella Asiatica, and licorice root extract soothe the skin. It's moisturizing, lightweight texture leaves the skin feeling hydrated and fresh. Best of all, it's waterproof so you won't have to worry about the waves rinsing your protection away!",4.25 stars
Soothe 66% Bamboo Serum (50ml),RM63,NaN,KEEP COOL,NaN,4.70 stars
Aqua Deep Cleansing Pad (1ea),RM2,NaN,ONSAEMEEIN,NaN,0.00 stars
Lip & Eye Remover (100ml),RM19,NaN,ETUDE HOUSE,NaN,4.90 stars
Cellmazing Centellareal Mask Pack (1 Sheet),RM5,NaN,TORRIDEN,"Do you believe in beauty miracles? If you didn't before, you just might with Torriden's Cellmazing Centelareal Mask Pack! This handy pack contains a sheet mask soaked in an essence made with Centella Asiatica, Chinese lantern plant and calendula extracts to soothe redness while keeping the skin nice and hydrated too. It also helps to brighten and lighten dark spots for a radiant complexion, making it a great all-rounder addition to your beauty routine. We're ready for clear, healthy skin, are you?",4.54 stars
Rich Moist Foaming Cleanser (100ml),RM63,NaN,"DEAR, KLAIRS","Sure, cleansers are needed to ensure your skin stays clean, but they can have a reputation for stripping the skin off its natural oils, leaving it too dry. Say bye-bye to that dreaded tight feeling and hello to Dear, Klair's Rich Moist Foaming Cleanser! Formulated with amino acids, hyaluronic acid, ceramide 3 and olive oil, this nourishing cleanser clears the skin of dirt and impurities while ensuring it still stays hydrated and plump. It also helps to balance the pH of the skin and smoothens rough textures, leaving the skin even and supple to the touch.",4.54 stars
Mogongtox Soda Bubble (1 Sheet),RM7,NaN,MEDIHEAL,NaN,4.50 stars
24K Gold Snail Cleansing Foam (180ml),RM37,NaN,ELIZAVECCA,"Live the luxe life and pamper your skin with Elizavecca's 24k Gold Snail Cleansing Foam! This moisturizing cleanser lathers up into a rich foam that deep cleanses the skin, soothing fatigued skin and ensuring your pores are nice and clean. It contains 24k gold flakes to improve blood circulation, as well as snail mucin extract to hydrate and repair the skin, leaving you with a pricelessly healthy complexion.",4.48 stars
Clean it Zero Cleansing Balm (100ml)_Purifying,RM79,NaN,BANILA CO,"We know how difficult and tedious makeup removal is; it can sometimes feel like a war that stubborn waterproof products are winning. Banila Co.'s Clean It Zero Cleansing Balm is our secret weapon to clean, fresh skin! This silky balm melts away dirt, residue, and long-wearing makeup, emulsifying with water into a milk-colored solution that washes everything down the drain. Sensitive skins, rejoice! The Purifying version is made with gentle, skin soothing ingredients for an easy clean. A definite must-have in your stash that'll keep your skin looking radiant and feeling supple.",4.87 stars
Oil-Free Ultra Moisturizing Lotion (100ml),RM93,NaN,COSRX,"Made to be perfectly paired with CosRX's acid-based exfoliating products, the Oil-Free Ultra Moisturizing Lotion is a lightweight, non-greasy hydrating formula that quenches and soothes the skin. It helps calm redness and sensitivities, as well as strengthen the skin with 70% birch sap. Best of all, it helps treat spots and keeps sebum right in check for fresh, supple skin all day long.",4.41 stars
Primer Water Mini (19ml),RM9,RM7,ALTHEA,NaN,5.00 stars
Real Floral Air Cream Rose (100ml),RM75,NaN,NACIFIC,NaN,5.00 stars
Ginseng Serum (30ml),RM110,NaN,I'M FROM,NaN,4.53 stars
Pure Vitamin C 21.5% Advanced Serum (30ml),RM99,NaN,BY WISHTREND,NaN,4.16 stars
Bio-Peel Gauze Peeling Wine (30ea),RM95,RM74,NEOGEN,NaN,4.74 stars
Chamomile Pure Toner (250ml),RM59,NaN,MAMONDE,NaN,4.83 stars
Aqua Peel Peeling Gel (100ml),RM43,NaN,MAMONDE,"Need some exfoliation without the harsh, drying results? Mamonde's Aqua Peel Peeling Gel is a moisturizing formula that whisks away dead skin cells to reveal fresh, new skin beneath. This formula contains a mix of AHA and Japanese apricot enzyme to gently but effectively even out the skin and remove flakiness, while Japanese apricot flower extract hydrates the skin. The result is healthy, non-irritated skin that's supple to the touch.",4.29 stars
Ultimate Moisturizing Honey Overnight Mask (60ml),RM58,NaN,COSRX,NaN,4.68 stars
Rich Moist Soothing Cream (60ml),RM93,NaN,"DEAR, KLAIRS","Has redness got you down? Keep it all under control with the Rich Moisture Soothing Cream! This luxurious moisturizer has a creamy texture that gives sensitive skin some TLC, calming irritations while ensuring that it gets the boost of hydration it needs. Best of all, it's a vegan-friendly formula that doesn't test on animals or uses animal-based ingredients, so you can keep both your skin and those furry ones happy too!",4.64 stars
Rose Quartz Angel Wing,RM110,NaN,JARDIN,"Massage your way to a better, more holistic lifestyle with the Rose Quartz Angel Wing. Made from 100% natural Brazilian rose quartz, this uniquely shaped gua sha massager uses pressure points to help improve circulation and soothe stress. Use it on both your face and body for a holistic experience that’ll help your beauty shine from within.",4.33 stars
Tomato Sun Cream SPF 36 PA++ (50ml),RM28,NaN,SKINFOOD,NaN,4.67 stars
Centella Green Level Recovery Cream (50ml),RM71,NaN,PURITO,NaN,4.88 stars
Oatmeal Therapy Cleansing Oil (200ml),RM42,NaN,CALMIA,"Just another breakfast food? Think again! Oatmeal is more than just delicious with fruits and honey, it's pack with antioxidants and purifying properties to ensure your skin is youthful and healthy. This cleansing oil helps to remove makeup and contains oatmeal extracts to deep cleanse the skin while ensure it stays nice and moisturized. The result is clean, soft skin that's bouncy to the touch.",4.18 stars
White Dew Skin Refiner (120ml),RM120,NaN,LANEIGE,"Looking for bright, glowy skin? Laneige's White Dew range contains Saururus Chinensis extract that works effectively to lighten dark spots and even out skin coloration. It's also formulated with the glycol component of Phyto sugar water that moisturizes and brightens the skin. The skin refiner is a hydrating toner that whisks away leftover residue and preps the skin to take on the next step of your skincare routine, leaving it feeling supple, looking bright and feeling great. With continuous use, you'll be left with a complexion that's supple and radiant, and who doesn't want that?",4.71 stars
Water Sleeping Mask Lavender (70ml),RM108,NaN,LANEIGE,"Your favorite sleeping mask now comes in a Lavender scent! Wake up beautiful with the world's best-selling sleeping mask! With 1 sold every 12 secs, this light gel mask provides intensive hydration, vitality and brightening effect while restoring skin with deep relaxation. This product contains a number of patents including the SLEEP-TOX??technology that purifies skin during sleep, keeping it in optimum condition while MOISTURE WRAP??helps skin retain moisture throughout the night. It also has an aromatic SLEEPSCENT??helps you relax during sleep. Best of all, it's also formulated with skin soothing agents that are gentle on the sleeping skin, helping it to recover overnight.",4.75 stars
White Dew Original Ampule Essence (40ml),RM197,NaN,LANEIGE,"Looking for bright, glowy skin? These drops of light from Laneige contain Saururus Chinensis extract that works effectively to lighten dark spots and even out skin coloration. It's also formulated with the glycol component of Phyto sugar water that moisturizes and brightens the skin. What all that means is that with continuous use, you'll be left with a complexion that's supple and radiant, and who doesn't want that?",4.55 stars
Gentle Black Deep Cleansing Oil (150ml),RM93,NaN,"DEAR, KLAIRS","There's something just super satisfying about seeing your makeup wash right down the drain at the end of the day! Keep your skin clean from grime and unwanted makeup with Dear, Klair's Gentle Black Deep Cleansing Oil. This formula is made with a mix of nourishing ingredients like shea butter, black bean, black sesame, blackcurrant and jojoba oils to draw out impurities from the skin, leaving the skin feeling fresh and plump to the touch. It's made without artificial coloring, alcohol, parabens or artificial fragrances, making this suitable even for those of us with sensitive skin.",4.82 stars
Golden Monkey Glamour Lip 3 Step (1ea),RM11,NaN,HOLIKA HOLIKA,"Plump, full lips are always in trend, so here's how you can prep your lips so they're smooth and kissable to the touch! This Gold Monkey Glamour Lip kit from Holika Holika works in 3 steps to get a perfectly delicious pout: a peeling patch infused with pure gold and cellulose to exfoliate and smooth out the skin; a volume lip pack containing hyaluronic acid and collagen to hydrate and soothe lips; and a honey essence to moisturize and nourish the lips for that perfect pout. Get ready to pucker up!",4.75 stars
Miracle Seed Essence (150ml),RM205,NaN,PRIMERA,"One of Primera's bestsellers, the Miracle Seed Essence is made with 93.1% lotus seed extract, which contains high levels of amino acids and linoleic acid to moisturize dry and dull skin. With flavonoid and polyphenol, this product reduces the production of active oxygen to improve the health of the skin. This almost gel-textured essence plumps up the skin, giving it even texture and skin tone as it hydrates the skin well. Your skin will thank you and feel supple all day!",4.76 stars
Super Aqua Max Watery Essence (42g),RM50,NaN,NATURE REPUBLIC,"Just like a cool, tall drink on a sunny day, Nature Republic's Super Aqua Max Essence is a concentrate that offers ultimate hydration for dull, parched skin. Made with deep sea water harvested 915m below the surface in Kona, Hawaii, this product is packed with minerals and nutrients that nourish your skin from within. It doesn't just stop there; it also contains a range or maritime extracts that provide your skin with rich hydration properties as well as protection from harmful externalities. We love the delightfully fresh scent that comes with it too!",4.73 stars
Hydrating Hyaluronic Acid Aqua Ampoule (100ml),RM83,NaN,TOSOWOONG,NaN,4.72 stars
Rich Moist Soothing Tencel Sheet Mask (25ml),RM14,NaN,"DEAR, KLAIRS",NaN,4.64 stars
Pore Corset Serum (30ml),RM78,NaN,SKINMISO,"Shrink 'em pores with Skinmiso's Pore Corset Serum! This well-loved serum tightens loose pores up to 34% in as little as 20 minutes, claiming to shrink them long term with continuous usage. It also helps to removes impurities from the pores and balance out the skin's hydration levels, which in turn effectively controls the sebum production of the skin, making this perfect for those of us with oilier complexions. It's no wonder this gem is a favorite of K-beauty enthusiasts all over the world!",4.59 stars
Fundamental Eye Awakening Gel (35ml),RM86,NaN,"DEAR, KLAIRS",NaN,5.00 stars
